date,calories_eaten,sleep_hours,steps,exercise_scale,mood,calories_burned,health_score
2025-10-30,2200.0,7.5,6500,2,4,360.0,4
2025-10-31,1800.0,6.0,4000,1,3,210.0,2
2025-11-01,2000.0,8.0,9000,3,5,510.0,3
2025-11-02,2500.0,7.0,12000,4,4,680.0,2
2025-11-03,2100.0,5.5,3000,0,2,120.0,0
2025-11-04,1900.0,7.0,8000,2,4,420.0,3
2025-11-06,2300.0,9.0,15000,5,5,850.0,0
2025-11-07,1700.0,6.5,5000,1,3,250.0,3
2025-11-08,1600.0,4.0,2000,0,1,80.0,1
2025-11-09,2100.0,7.0,6000,2,4,340.0,4
2025-11-10,2000.0,8.5,11000,3,5,590.0,1
2025-11-11,2400.0,6.0,9000,3,4,510.0,3
2025-11-12,2000.0,7.5,7500,2,4,400.0,4
2025-11-13,1900.0,8.0,10000,3,5,550.0,3
2025-11-14,3000.0,5.0,4000,1,2,210.0,1
2025-11-15,1800.0,7.0,6500,2,4,360.0,3
2025-11-16,2000.0,6.5,5000,1,3,250.0,4
2025-11-18,2000.0,6.0,3000,0,2,120.0,1
2025-11-19,2300.0,9.0,14000,4,5,760.0,1
2025-11-20,1700.0,7.5,6000,2,4,340.0,3
2025-11-21,1900.0,7.0,8000,2,4,420.0,3
2025-11-22,2500.0,5.0,2000,0,1,80.0,0
2025-11-23,2100.0,7.0,7000,2,4,380.0,4
2025-11-24,1800.0,6.5,4500,1,3,230.0,3
2025-11-25,2000.0,8.0,10000,3,5,550.0,3
2025-11-26,2600.0,4.5,3000,0,2,120.0,0
2025-11-27,2000.0,7.0,6500,2,4,360.0,4
2025-11-28,2200.0,8.0,9000,3,5,510.0,4
2025-11-29,2100.0,7.0,7500,2,4,400.0,4
2025-11-30,1900.0,6.0,4000,1,3,210.0,2
2025-12-02,2300.0,9.0,15000,5,5,850.0,0
2025-12-03,1700.0,5.0,2000,0,1,80.0,1
2025-12-04,2000.0,7.0,7000,2,4,380.0,4
2025-12-05,2000.0,6.5,5000,1,3,250.0,4
2025-12-06,2400.0,8.0,11000,3,5,590.0,3
2025-12-07,2600.0,4.0,3000,0,2,120.0,0
2025-12-08,1900.0,7.0,6500,2,4,360.0,4
2025-12-09,2100.0,8.5,10000,3,5,550.0,3
2025-12-10,1800.0,6.0,4500,1,3,230.0,2
2025-12-11,2000.0,7.0,7000,2,4,380.0,4
2025-12-12,2300.0,9.0,14000,4,5,760.0,1
2025-12-13,1700.0,5.0,2000,0,1,80.0,1
2025-12-14,2200.0,8.0,9000,3,5,510.0,4
2025-12-15,1900.0,7.0,6000,2,4,340.0,4
2025-12-16,2100.0,7.0,7500,2,4,400.0,4
2025-12-17,2000.0,6.5,5000,1,3,250.0,4
2025-12-18,2300.0,8.0,10000,3,5,550.0,4
2025-12-19,1800.0,6.0,5890,2,5,335.6,2
